A,B,C,D,E,F,G,H,I,J,target
3,0,0,5,0,1,0,1,0,0,1
8,0,0,13,0,0,0,0,0,0,0
0,0,0,21,1,0,0,0,0,0,0
0,0,0,106,0,0,0,0,0,0,0
0,0,0,13,0,0,0,0,0,0,1
4,0,0,19,1,0,0,0,0,0,0
0,0,0,22,3,0,0,0,0,0,0
3,0,0,38,6,0,0,3,0,0,1
2,0,0,8,0,0,0,0,0,0,0
9,0,0,13,0,0,0,0,0,0,0
0,0,0,34,0,0,0,0,0,0,0
13,0,0,14,0,0,0,0,0,0,0
8,0,0,30,1,0,0,0,0,0,0
0,0,0,155,2,3,0,0,0,0,1
0,0,0,43,0,1,0,0,0,0,0
5,0,0,8,0,0,0,0,0,0,0
1,0,0,12,1,1,0,1,0,0,1
4,0,0,25,1,0,0,1,0,0,1
7,0,0,7,0,0,0,1,0,0,0
10,0,0,3,2,0,0,0,0,0,0
62,1,0,9,0,0,0,0,0,0,0
5,0,0,9,1,0,0,0,0,0,0
16,0,0,2,0,0,0,0,0,0,1
2,0,0,8,0,0,0,0,0,0,0
29,0,0,17,1,1,0,3,0,0,1
4,0,0,10,0,0,0,0,0,0,0
0,0,0,152,21,1,0,0,1,0,1
5,0,0,43,0,0,0,3,0,0,1
89,0,0,72,1,1,0,0,0,0,0
0,0,0,11,2,1,0,0,0,0,0
8,0,0,7,1,0,0,0,0,0,0
6,0,0,10,0,0,0,0,0,0,0
0,0,0,15,0,0,0,0,0,0,0
5,0,0,10,0,0,0,0,0,0,0
31,2,0,207,7,3,0,0,0,0,0
0,0,0,66,1,1,0,0,0,0,0
3,0,0,156,1,0,0,1,0,0,0
10,0,0,28,0,0,0,0,0,0,0
9,0,0,21,0,0,0,1,0,0,1
2,0,0,29,1,0,0,0,0,0,0
1,0,0,33,3,0,0,0,0,0,0
1,0,0,21,2,0,0,0,0,0,0
2,0,0,6,0,0,0,0,0,0,1
1,0,0,352,26,8,0,4,1,0,1
7,0,0,8,0,0,0,0,0,0,0
2,0,0,31,2,0,0,1,1,0,1
0,0,0,18,2,0,0,0,0,0,1
3,0,0,8,0,0,0,0,0,0,0
0,1,0,725,11,1,0,7,0,0,1
